Ano Diagnóstico;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;IG;Total
2001;674;364;2334;150;3517;223;320;2901;1568;4240;1158;1369;4542;1332;557;7935;1331;1658;16976;19775;3224;1695;5231;980;1425;1148;638;-;87265
2002;639;368;2286;172;3785;296;333;3043;1519;4385;1179;1395;4870;1351;599;7853;5886;1569;16789;19807;3436;1873;5509;914;1248;1149;606;-;92859
2003;651;368;2375;206;3940;273;284;2980;1448;4586;1354;1465;5153;1426;664;8435;5982;1563;16130;19202;3454;1903;5786;1022;1267;1242;614;-;93773
2004;628;356;2559;218;4089;275;260;2974;1563;4461;1373;1508;5451;1422;634;8212;6086;1529;15832;18584;3294;1870;5906;1034;1148;1089;625;-;92980
2005;630;329;2477;155;3975;274;253;3179;1551;4656;1356;1482;5319;1507;834;7937;5926;1448;15325;18428;3418;1837;5661;1053;1344;1081;621;-;92056
2006;519;391;2432;147;3789;245;256;2883;1306;4140;1163;1122;4898;1356;697;7148;5369;1353;14200;18059;2832;1820;5155;882;1310;976;583;-;85031
2007;548;314;2461;137;3763;273;231;2780;1357;4161;1112;1182;4835;1380;593;6734;5311;1432;14206;17643;3059;1866;5496;963;1170;959;634;-;84600
2008;564;314;2688;155;3790;266;207;2464;1224;4473;1211;1324;4995;1408;695;6667;5188;1537;14676;18452;2991;2022;5687;1019;1280;953;518;-;86768
2009;680;364;2606;145;4106;253;223;2462;1108;4664;1185;1320;5028;1448;686;6971;4851;1427;14390;17828;2808;2002;6100;1044;1158;1012;449;-;86318
2010;572;347;2764;152;4104;221;216;2414;994;4315;1109;1327;5175;1368;630;6521;4443;1478;14241;18213;2770;2070;6180;943;1368;1016;430;-;85381
2011;685;392;2686;171;4334;259;215;2505;1002;4398;1269;1413;5390;1327;669;6412;4626;1450;14331;19083;2722;2218;6360;1047;1371;989;489;-;87813
2012;692;409;2842;137;4048;253;185;2185;921;4236;1208;1426;5696;1358;617;6082;4257;1461;14018;18676;2534;2229;6405;1091;1605;1058;554;-;86183
2013;711;406;3060;167;4119;220;194;2278;908;4052;1273;1429;5420;1324;710;5679;4200;1384;13349;19530;2650;2268;6348;1098;1886;1072;473;-;86208
2014;686;462;3143;148;3940;211;186;2111;813;3879;1187;1312;5443;1245;788;5612;4193;1314;13095;19976;2554;2248;6372;998;1794;991;512;-;85213
2015;665;361;3404;174;3991;225;193;2238;754;4012;1156;1250;5649;1068;771;5304;4055;1395;13367;20376;2466;2180;6380;1003;1442;1095;478;-;85452
2016;775;450;3259;160;4224;287;210;2442;812;4045;1182;1215;5513;1236;800;5300;4073;1238;13645;20587;2436;2199;6043;1130;1456;1027;463;-;86207
2017;780;484;3693;205;4511;298;187;2469;791;4289;1354;1360;6378;1264;832;5498;4064;1324;13927;22119;2501;2228;6599;1140;1430;1163;413;-;91301
2018;678;483;3803;265;4678;284;233;2647;884;4555;1624;1542;6491;1340;978;5667;4224;1484;14819;22258;2860;2282;6908;1455;1414;1212;471;-;95539
2019;740;582;3955;324;5542;357;234;2666;877;4544;1417;1486;6793;1288;1022;5653;4356;1492;14963;21953;2883;2265;7642;1406;1532;1173;483;1;97629
2020;573;537;3500;286;4437;274;200;2332;758;3696;1502;1263;6069;922;793;4448;3889;1734;13077;19045;2814;1509;6327;1171;1188;952;382;-;83678
Total;13090;8081;58327;3674;82682;5267;4620;51953;22158;85787;25372;27190;109108;26370;14569;130068;92310;29270;291356;389594;57706;40584;122095;21393;27836;21357;10436;1;1772254
